Id,Model,Price,Age,KM,HP,Metallic,Automatic,CC,Doors,Gears,Weight,Color
94,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,110,1,0,1600,5,5,1130,Black
95,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,110,1,0,1600,5,5,1075,Blue
96,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,97,1,0,1400,5,5,1110,Blue
97,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,97,1,0,1400,5,5,1135,Blue
98,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,110,1,0,1600,5,5,1075,Black
99,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,97,1,0,1400,5,5,1110,Grey
100,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,97,1,0,1400,5,5,1110,Blue
101,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,97,1,0,1400,5,5,1110,Blue
102,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,110,1,0,1600,4,5,1105,Black
103,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,97,0,0,1400,5,5,1110,Blue
104,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,97,0,0,1400,5,5,1110,Grey
105,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,97,0,0,1400,5,5,1135,Black
106,TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,110,1,0,1600,5,5,1105,Black
107,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,23000,110,1,0,1600,5,5,1130,Blue
108,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,22588,97,1,0,1400,5,5,1110,Silver
109,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,192,1,0,1800,5,5,1185,Silver
110,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,21428,110,1,0,1600,5,5,1130,Black
111,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,20629,110,1,0,1600,4,5,1090,Grey
112,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,20270,110,1,0,1600,5,5,1130,Blue
113,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,20105,97,0,0,1400,5,5,1110,Black
114,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,20000,110,0,1,1600,5,5,1165,Blue
115,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,19988,110,1,0,1600,5,5,1130,Grey
116,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,18328,110,0,0,1600,5,5,1130,Grey
117,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,17896,110,1,1,1600,4,5,1150,Silver
118,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,17300,97,1,0,1400,5,5,1110,Grey
119,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,17038,110,0,0,1600,5,5,1130,Black
120,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,13747,97,1,0,1400,5,5,1110,Black
121,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,13634,110,1,0,1600,5,5,1115,Silver
122,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,13178,110,1,0,1600,5,5,1130,Black
123,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,13157,97,1,0,1400,4,5,1085,Blue
124,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,13000,110,1,0,1600,4,5,1105,Grey
125,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,110,1,0,1600,5,5,1115,Blue
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,11999,110,1,0,1600,5,5,1130,Grey
127,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,11754,110,0,1,1600,5,5,1180,Grey
128,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,11000,110,1,0,1600,4,5,1105,Blue
129,TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,10000,110,0,0,1598,5,5,1105,Silver
130,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,7650,110,1,0,1600,5,5,1115,Silver
131,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,110,1,0,1600,4,5,1100,Silver
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,6155,97,1,0,1400,5,5,1110,Blue
133,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,6000,110,0,0,1600,5,5,1130,Blue
134,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,5459,110,1,0,1600,5,5,1130,Grey
135,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,5278,110,1,1,1600,4,5,1150,Silver
136,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,110,1,0,1600,5,5,1130,Black
137,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,1,98,1,0,1400,4,5,1065,Silver
138,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,1,110,1,0,1600,5,5,1075,Grey
139,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,11000,110,1,0,1600,5,5,1130,Blue
140,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,10077,97,1,0,1400,5,5,1110,Black
141,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,97,1,0,1400,5,5,1110,Grey
142,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,9788,110,1,0,1600,5,5,1130,Silver
143,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,8574,110,1,0,1600,5,5,1130,Black
144,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,7000,110,0,0,1600,5,5,1115,Grey
145,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,6250,110,1,0,1600,5,5,1115,Grey
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,5000,110,1,0,1600,5,5,1130,Grey
147,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3000,110,0,0,1600,5,5,1130,Black
148,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2000,110,0,0,1600,5,5,1075,Red
149,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,450,97,1,0,1400,5,5,1110,Grey
150,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,225,97,1,0,1400,5,5,1110,Blue
151,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,15,110,1,0,1600,5,5,1130,Blue
152,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,1,98,1,0,1400,4,5,1100,Grey
153,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,1,110,1,0,1600,5,5,1075,Grey
154,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,118217,110,1,0,1600,5,5,1075,Red
155,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,97,1,0,1400,3,5,1025,Grey
156,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,96829,110,1,0,1600,5,5,1075,Red
157,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,96518,97,1,0,1400,3,5,1025,Red
158,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,92204,110,1,0,1600,5,5,1075,Grey
159,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,89757,110,1,0,1600,3,5,1045,Black
160,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,85389,110,1,0,1600,5,5,1075,Silver
161,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,85017,97,0,0,1400,5,5,1060,Red
162,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,84312,110,0,0,1600,5,5,1080,Grey
163,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,78677,110,1,1,1600,5,5,1105,Blue
164,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,78425,110,1,0,1600,5,5,1075,Blue
165,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,77321,110,1,0,1600,5,5,1075,Grey
166,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,75697,97,1,0,1400,3,5,1025,Silver
167,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,74846,97,1,0,1400,3,5,1025,Black
168,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,74319,110,1,0,1600,5,5,1075,Black
169,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,74285,110,1,0,1600,5,5,1075,Blue
170,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,74172,110,1,0,1600,5,5,1615,Black
171,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,73042,110,1,0,1598,5,5,1075,Blue
172,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,71200,110,1,0,1600,5,5,1075,Green
173,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,67805,110,1,0,1600,5,5,1075,Blue
174,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,65988,110,1,0,1600,3,5,1040,Blue
175,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,65345,97,1,0,1400,5,5,1060,Red
176,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,64564,110,1,0,1600,5,5,1080,Silver
177,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,63459,97,1,0,1400,5,5,1060,Green
178,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,63451,97,0,0,1400,3,5,1025,Black
179,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,62000,110,1,0,1600,5,5,1075,Green
180,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,61300,97,1,0,1400,3,5,1030,Blue
181,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,61200,110,1,0,1600,3,5,1045,Blue
182,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,61000,110,0,0,1600,5,5,1075,Red
183,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,60829,110,1,0,1600,5,5,1075,Blue
184,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,60500,110,0,0,1600,5,5,1075,Red
185,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,59000,110,0,1,1600,5,5,1110,Grey
186,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,58954,110,1,0,1600,5,5,1080,Green
187,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,58798,110,1,0,1600,5,5,1075,Grey
188,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,58363,110,1,0,1600,3,5,1055,Black
189,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,58277,110,1,0,1600,3,5,1045,Grey
190,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,57269,110,1,0,1600,5,5,1075,Green
191,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,56001,110,1,0,1600,5,5,1075,Black
192,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,55968,110,0,0,1600,3,5,1050,Blue
193,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,55678,110,1,0,1600,4,5,1030,Blue
194,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,55539,110,1,0,1600,5,5,1085,Red
195,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,55400,110,0,0,1600,5,5,1075,Red
196,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,55350,110,0,0,1600,5,5,1075,Green
197,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,54600,110,0,0,1600,4,5,1030,Blue
198,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,53773,110,1,0,1600,5,5,1075,Grey
199,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,53719,110,1,1,1600,5,5,1105,Grey
200,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,53644,110,1,0,1600,5,5,1075,Green
201,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,53350,110,0,0,1600,5,5,1075,Black
202,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,53000,110,1,0,1600,5,5,1075,Silver
